vin,model,mfg_year,fuel_type
6CVGV5PW,Freightliner M2,2022,Diesel
UES83NM8,Volvo VNL,2012,LNG
76CI7LO5,Ashok Leyland Dost,2012,Electric
6672S6RC,Freightliner M2,2010,CNG
EVMC4TAQ,Tata Ultra,2013,LNG
UJ1EYIDW,Volvo VNL,2012,LNG
5E3K5BFQ,Volvo VNL,2009,Electric
8BO7B8BY,Ashok Leyland Dost,2015,Electric
LNYNJ6FC,Freightliner M2,2024,CNG
RQJRCZ8F,Ashok Leyland Dost,2011,CNG
5PWRL38Y,Ashok Leyland Dost,2022,Electric
VJ5R0OLT,Tata Ultra,2012,CNG
OAIIKMO7,Volvo VNL,2021,LNG
WFBL5FOW,Tata Ultra,2007,CNG
PQLFJ7UV,Tata Ultra,2010,Electric
TL7P0XH3,Freightliner M2,2009,Electric
ZVUOBHB0,Tata Ultra,2025,Diesel
QB5YFR47,Volvo VNL,2005,CNG
XTUDADML,Tata Ultra,2009,LNG
BWHIC8P2,Isuzu N-Series,2025,Electric
DRMI01MP,Freightliner M2,2022,Diesel
Z6MWJKFS,Tata Ultra,2010,CNG
KXLN0KYA,Isuzu N-Series,2022,Diesel
1E6KX48S,Freightliner M2,2020,Electric
5777FJUB,Volvo VNL,2010,Electric
XAVMB03O,Ashok Leyland Dost,2011,Electric
9UJ7X4B9,Tata Ultra,2010,LNG
YLOOK2LT,Freightliner M2,2019,CNG
STMEMO59,Tata Ultra,2019,CNG
TNSQJU1N,Volvo VNL,2025,Diesel
RFOBUGLS,Ashok Leyland Dost,2025,CNG
T2JD51JR,Isuzu N-Series,2009,LNG
DVI0O8LF,Volvo VNL,2022,LNG
W60GF3NU,Volvo VNL,2024,Electric
ITXEFAZP,Tata Ultra,2011,Diesel
72KWN8FL,Volvo VNL,2007,LNG
E7O3WD07,Freightliner M2,2018,LNG
MTNHGANQ,Isuzu N-Series,2005,CNG
WPRK6M5X,Ashok Leyland Dost,2005,Electric
GUY6EVXP,Isuzu N-Series,2018,CNG
SQXC9M7K,Freightliner M2,2025,CNG
VV8LP85K,Volvo VNL,2005,Electric
UKLHGNY0,Isuzu N-Series,2016,LNG
R1KYSS0H,Isuzu N-Series,2019,CNG
ZK04W7WQ,Ashok Leyland Dost,2022,LNG
5V00BCKP,Tata Ultra,2022,CNG
ZMNU28XJ,Freightliner M2,2010,Diesel
KNASPSRB,Freightliner M2,2014,Diesel
7PLWY9HA,Volvo VNL,2006,LNG
I0GZTR1W,Freightliner M2,2020,LNG
46VZMPPJ,Freightliner M2,2016,Diesel
I70EHPVT,Ashok Leyland Dost,2022,LNG
8JTXU7R4,Tata Ultra,2008,LNG
K03Z7Y4C,Volvo VNL,2023,Diesel
TVYIBLO4,Volvo VNL,2019,Diesel
AFWZT6XF,Tata Ultra,2021,Electric
QWEXNTZG,Ashok Leyland Dost,2020,LNG
Y18JZJ0E,Isuzu N-Series,2025,CNG
GA0ONZER,Ashok Leyland Dost,2007,CNG
0GBVVTC6,Freightliner M2,2011,LNG
U3K57MV5,Tata Ultra,2014,Electric
YRXX0XRC,Volvo VNL,2024,Diesel
2I7PLCO8,Ashok Leyland Dost,2009,Electric
FWXJLH5C,Tata Ultra,2012,Diesel
JZS07SC3,Ashok Leyland Dost,2016,Diesel
T3IVIQ1N,Isuzu N-Series,2008,Diesel
ONCTSATG,Isuzu N-Series,2008,Diesel
31F9BS72,Freightliner M2,2021,Electric
OAOUEZHK,Tata Ultra,2018,CNG
BG1M7WGC,Freightliner M2,2007,CNG
9XK9KAO7,Tata Ultra,2006,CNG
ARV8EL6I,Tata Ultra,2010,LNG
2O5PX1CQ,Volvo VNL,2020,LNG
QTTIZP67,Isuzu N-Series,2019,Diesel
ICQV8R95,Volvo VNL,2005,Diesel
IWR77T2R,Isuzu N-Series,2015,CNG
GQZ8AZ61,Isuzu N-Series,2018,Diesel
VSNK2GCQ,Ashok Leyland Dost,2006,Electric
0KCSJUR1,Isuzu N-Series,2005,CNG
D4QV5OOJ,Tata Ultra,2023,CNG
SB9N9DZS,Tata Ultra,2019,Diesel
N7AD9F5L,Tata Ultra,2019,LNG
S10EFIIU,Freightliner M2,2022,CNG
EEJ9A7OO,Tata Ultra,2011,Electric
GF2HQL3Q,Tata Ultra,2025,CNG
9Z1IKJEZ,Freightliner M2,2018,LNG
5XC1L45K,Freightliner M2,2022,Diesel
S77S85GT,Freightliner M2,2023,CNG
BKN8L4QT,Volvo VNL,2023,Diesel
6LY77LU8,Volvo VNL,2021,Diesel
CR8RF7NZ,Isuzu N-Series,2022,LNG
Z5LJT3IZ,Ashok Leyland Dost,2021,CNG
V5WX8XQT,Tata Ultra,2006,LNG
2T28CHAG,Volvo VNL,2005,CNG
D8EZFLFC,Isuzu N-Series,2017,Diesel
F9O0J30Y,Volvo VNL,2017,Electric
IW7I85N5,Isuzu N-Series,2014,LNG
IXWBAXHF,Freightliner M2,2023,CNG
V9Q4H1GE,Isuzu N-Series,2017,Diesel
DIUB171H,Tata Ultra,2011,Electric
ZEABC4ZS,Ashok Leyland Dost,2014,Electric
2O9HSGCJ,Volvo VNL,2008,LNG
HLEY25QZ,Isuzu N-Series,2011,LNG
ZI6VT2SD,Freightliner M2,2010,LNG
JVTCBR4W,Volvo VNL,2007,Diesel
VMCDXVE3,Tata Ultra,2009,LNG
1BXO7373,Isuzu N-Series,2015,Diesel
N3QF65W6,Freightliner M2,2022,CNG
467GJOMA,Ashok Leyland Dost,2019,CNG
MR70KSXQ,Freightliner M2,2023,Diesel
CIIUQOXU,Ashok Leyland Dost,2018,LNG
WQPI8MIK,Volvo VNL,2018,Diesel
212B1NL4,Volvo VNL,2007,CNG
IK9FDEGZ,Freightliner M2,2005,Diesel
IUPVU43T,Isuzu N-Series,2007,Electric
QFKPG2YK,Ashok Leyland Dost,2020,Diesel
7LCBWXU3,Ashok Leyland Dost,2014,Diesel
5V5LVQQQ,Freightliner M2,2015,LNG
EE0SSUF9,Isuzu N-Series,2022,CNG
FRVF5HLB,Volvo VNL,2016,LNG
80AN3ZJY,Tata Ultra,2022,CNG
N2SM1PYF,Ashok Leyland Dost,2007,CNG
HUVH0ICV,Ashok Leyland Dost,2008,CNG
OYX3LOB4,Isuzu N-Series,2014,LNG
1W7HMGCZ,Isuzu N-Series,2020,Electric
F5XM76VS,Volvo VNL,2016,LNG
SFTJBGGX,Volvo VNL,2011,CNG
RARSE8XU,Volvo VNL,2008,CNG
7QIDBN4R,Tata Ultra,2022,Electric
W3MPVN3M,Tata Ultra,2005,CNG
CN1AT1NU,Ashok Leyland Dost,2005,LNG
LH2ACZVS,Freightliner M2,2012,CNG
A3PPAXLK,Freightliner M2,2005,LNG
VC60NSR2,Freightliner M2,2011,Electric
OPILIPDY,Isuzu N-Series,2021,Diesel
63CEKP4N,Tata Ultra,2011,Electric
ALRNHMH2,Isuzu N-Series,2012,LNG
JX94GND1,Freightliner M2,2011,CNG
XP8BLP3E,Tata Ultra,2022,Electric
082UFSIB,Volvo VNL,2008,Diesel
7ETIO1ZM,Ashok Leyland Dost,2008,Diesel
9GGZMQ4G,Isuzu N-Series,2011,LNG
3DMLI3IS,Tata Ultra,2023,Diesel
QO6F5G13,Isuzu N-Series,2008,Diesel
26K07LZ2,Isuzu N-Series,2021,Electric
03X02ALP,Ashok Leyland Dost,2012,CNG
PZ6GN5XE,Freightliner M2,2009,CNG
8TDOS3Y6,Ashok Leyland Dost,2024,Electric
R3M4C5LQ,Volvo VNL,2014,LNG
HGQF08K2,Volvo VNL,2006,CNG
NZUY1JIW,Freightliner M2,2013,LNG
3J0PBA6M,Ashok Leyland Dost,2005,Diesel
77AF835L,Isuzu N-Series,2011,CNG
RPBY0DTF,Isuzu N-Series,2008,Diesel
EC2VG7EK,Freightliner M2,2009,Diesel
5FJCAJUJ,Isuzu N-Series,2011,CNG
15GXN71N,Volvo VNL,2024,Diesel
AMYRLC8Z,Isuzu N-Series,2009,CNG
PV917M9W,Freightliner M2,2013,Diesel
D3QU1ZJT,Tata Ultra,2006,Electric
ECRL6EUR,Volvo VNL,2015,Diesel
7MZC8MFR,Freightliner M2,2009,Diesel
I3K95MI3,Volvo VNL,2011,Electric
KIJJK691,Tata Ultra,2010,Diesel
K8449W8N,Volvo VNL,2009,LNG
MCZL21VA,Isuzu N-Series,2008,Electric
H08J5VZV,Isuzu N-Series,2024,CNG
M0L7A1PI,Isuzu N-Series,2024,CNG
OS71S3IY,Tata Ultra,2015,LNG
ISTKKV7G,Tata Ultra,2015,Electric
ODWGFTSG,Volvo VNL,2017,CNG
T382ZP50,Ashok Leyland Dost,2006,Diesel
JBKVYGNQ,Tata Ultra,2017,CNG
EVN3EZMW,Tata Ultra,2009,Diesel
NW1AY0ST,Freightliner M2,2016,LNG
VAGGHMIP,Tata Ultra,2016,Electric
4ZEVOZPM,Ashok Leyland Dost,2025,Electric
RSJ69DLE,Freightliner M2,2008,Electric
TSVGNWAO,Isuzu N-Series,2007,LNG
O5KM4F0G,Tata Ultra,2006,CNG
ILU2BGF0,Volvo VNL,2024,LNG
Z3KYF7AJ,Isuzu N-Series,2015,Diesel
RAPO63PP,Volvo VNL,2018,CNG
VS211ULX,Volvo VNL,2014,Electric
8F1P6H1G,Volvo VNL,2011,LNG
A42L6SOM,Freightliner M2,2010,LNG
28440CV5,Volvo VNL,2020,Electric
K1IRHBCR,Isuzu N-Series,2014,Electric
LTIMQ9JF,Ashok Leyland Dost,2018,CNG
6QE4ZHT7,Freightliner M2,2012,Electric
GLCKKT1P,Tata Ultra,2023,CNG
SYL1J37H,Ashok Leyland Dost,2020,CNG
68WOPKRZ,Freightliner M2,2013,Electric
EZRTDF9H,Freightliner M2,2011,LNG
6ATTY2RR,Tata Ultra,2025,Diesel
VM3AGEGK,Volvo VNL,2022,Diesel
SEBT62XE,Tata Ultra,2018,Electric
VFP0N6UA,Tata Ultra,2019,Electric
MGA7BPU4,Tata Ultra,2016,CNG
6JWZV4WF,Volvo VNL,2008,Diesel
8LQ7L5CN,Ashok Leyland Dost,2024,LNG
EOLYHJHJ,Volvo VNL,2020,Diesel
PAXB65HT,Volvo VNL,2021,Diesel
DQTVNHTW,Tata Ultra,2012,CNG
NEJQS5LI,Isuzu N-Series,2008,LNG
ZTREJVUO,Isuzu N-Series,2007,Electric
2XGROOLW,Freightliner M2,2023,Diesel
KS93IKW3,Isuzu N-Series,2012,CNG
31OXQ1CK,Tata Ultra,2005,Electric
J4CY3WA7,Ashok Leyland Dost,2017,LNG
6BYC3IOH,Tata Ultra,2014,Electric
3QANKBUV,Freightliner M2,2007,Electric
WTABZPRT,Ashok Leyland Dost,2022,Diesel
RF9ZFZTF,Isuzu N-Series,2007,Diesel
YPAVO90R,Ashok Leyland Dost,2005,Electric
DXG3W372,Volvo VNL,2015,Electric
3MP90KAK,Ashok Leyland Dost,2005,Diesel
WQ4VTAFB,Tata Ultra,2018,LNG
A5ZPH5M5,Volvo VNL,2012,Electric
RWVVFTM7,Isuzu N-Series,2007,Electric
W65H3I2T,Volvo VNL,2015,Electric
BKUOQ8TS,Volvo VNL,2023,CNG
T9A1M9H7,Tata Ultra,2009,Diesel
JD12M24N,Tata Ultra,2015,LNG
N9VQ6Z93,Isuzu N-Series,2005,LNG
XJ36DVLX,Isuzu N-Series,2014,CNG
QF0MGGGJ,Isuzu N-Series,2016,Electric
6TFBVJN2,Ashok Leyland Dost,2018,Electric
E323L6YT,Volvo VNL,2021,CNG
RRW4F3UP,Tata Ultra,2013,Electric
0HCXARQN,Volvo VNL,2017,Diesel
YA09Y1G9,Freightliner M2,2021,Electric
MBOCQ5BK,Isuzu N-Series,2025,CNG
DS3LTF2X,Freightliner M2,2018,LNG
DUF2U6JJ,Volvo VNL,2012,Electric
7375SUN8,Volvo VNL,2019,Electric
GUKE1VDC,Ashok Leyland Dost,2025,CNG
9L662KZT,Ashok Leyland Dost,2015,Diesel
4U1YF95M,Isuzu N-Series,2011,CNG
46LR3LMM,Ashok Leyland Dost,2014,Diesel
GWOCLLOX,Ashok Leyland Dost,2007,CNG
BLZTFV1H,Volvo VNL,2006,Electric
0RO7A77S,Ashok Leyland Dost,2018,Electric
JRW4P1AS,Freightliner M2,2005,LNG
F0J5LQ7L,Ashok Leyland Dost,2016,CNG
52W479G3,Isuzu N-Series,2010,Diesel
1IX5TZBW,Isuzu N-Series,2012,Diesel
T1EHZJBY,Freightliner M2,2007,CNG
2IGF56E2,Ashok Leyland Dost,2018,LNG
ACF5FHWD,Ashok Leyland Dost,2018,CNG
TD1WLJC9,Ashok Leyland Dost,2023,Electric
3CQYCG5G,Volvo VNL,2022,Diesel
Y3CI0FB9,Volvo VNL,2010,Diesel
7MKZ4C90,Isuzu N-Series,2016,Electric
W60C93MX,Tata Ultra,2020,Electric
MZV08CFE,Volvo VNL,2016,LNG
QRUV7YQ9,Freightliner M2,2014,Diesel
3X0GILAO,Freightliner M2,2025,Electric
VBNJL5Q4,Volvo VNL,2019,Electric
68TORN7O,Isuzu N-Series,2016,LNG
IA73F48B,Freightliner M2,2010,CNG
A4SIYZLL,Tata Ultra,2016,LNG
G4DAEGZI,Isuzu N-Series,2021,Diesel
QZM9AIAB,Volvo VNL,2023,Electric
IHPPL2ZP,Volvo VNL,2025,Diesel
8Q5QBHPE,Isuzu N-Series,2018,LNG
D909XBWW,Volvo VNL,2020,Electric
C0RGC1LX,Volvo VNL,2016,CNG
WKCCIOD1,Tata Ultra,2014,Diesel
5OZ3ZXAH,Isuzu N-Series,2012,Electric
TUYCQ488,Isuzu N-Series,2018,LNG
DLZAFEAA,Tata Ultra,2008,CNG
OX86LSQD,Tata Ultra,2019,LNG
GO8MHXKJ,Freightliner M2,2017,Diesel
T5IIOJWV,Isuzu N-Series,2010,LNG
KLTGHRBM,Isuzu N-Series,2005,LNG
TE71W1HB,Freightliner M2,2008,LNG
XUSYN5ZH,Ashok Leyland Dost,2012,CNG
LMMBOTU3,Volvo VNL,2020,Electric
TJZZP8V6,Tata Ultra,2014,LNG
0OLNHHLH,Volvo VNL,2008,LNG
I8C4W139,Tata Ultra,2019,Diesel
0C01HGM3,Ashok Leyland Dost,2007,Diesel
DTHBJNGL,Isuzu N-Series,2017,LNG
8PBKQX54,Freightliner M2,2020,Electric
5AMSRA3Y,Tata Ultra,2010,Diesel
U5YP6FJU,Volvo VNL,2006,CNG
BJ2UGHTW,Tata Ultra,2009,CNG
0X4R0IDA,Tata Ultra,2023,Electric
4YQYRXA4,Tata Ultra,2007,Electric
MV7Y9BPB,Tata Ultra,2015,CNG
C12ST6OJ,Tata Ultra,2011,CNG
8QT3RD9R,Volvo VNL,2022,LNG
OSA4TU08,Freightliner M2,2023,Diesel
VLRMNPVD,Tata Ultra,2017,Electric
4RR7LF9D,Ashok Leyland Dost,2011,CNG
7FMZ066X,Ashok Leyland Dost,2022,Electric
VMVR9ASK,Isuzu N-Series,2013,CNG
RR2BAKO1,Tata Ultra,2024,Electric
P48Q37I1,Volvo VNL,2010,Diesel
WY74N6X0,Tata Ultra,2005,Electric
38V96FO0,Volvo VNL,2011,CNG
7WHEUHHN,Freightliner M2,2024,Electric
CPPXFGLS,Ashok Leyland Dost,2018,Electric
GTG237AO,Volvo VNL,2022,CNG
76GRYTUG,Isuzu N-Series,2016,CNG
U907XOGB,Ashok Leyland Dost,2009,CNG
PFUNB9GS,Isuzu N-Series,2018,Diesel
QDMXRJIO,Ashok Leyland Dost,2009,Electric
ZE1X4KAH,Volvo VNL,2018,LNG
8FIR3SWY,Isuzu N-Series,2016,LNG
CYEB41B3,Tata Ultra,2005,Diesel
G0VIKTHA,Isuzu N-Series,2013,Electric
YKCSNE9E,Tata Ultra,2021,Diesel
B42E58AF,Tata Ultra,2023,LNG
PYVVAMR0,Volvo VNL,2023,CNG
1W3WHQ5D,Volvo VNL,2013,Electric
U5Y802IL,Freightliner M2,2014,Electric
2HD81XPB,Volvo VNL,2006,Diesel
9DZGTN00,Volvo VNL,2019,LNG
Y53U9WSD,Isuzu N-Series,2008,CNG
H1UCSEE4,Ashok Leyland Dost,2015,CNG
02QNRXGW,Isuzu N-Series,2021,CNG
8NR7R0DF,Ashok Leyland Dost,2025,LNG
JU1WLYB4,Freightliner M2,2019,Electric
1YLUIW0F,Ashok Leyland Dost,2025,Diesel
6PMRR4W8,Ashok Leyland Dost,2009,Diesel
0JI1IND0,Freightliner M2,2007,LNG
5VMZ9WNA,Freightliner M2,2006,CNG
52MKZQ8O,Ashok Leyland Dost,2008,Diesel
BD4ZYWBM,Freightliner M2,2009,Electric
IIYHZLEP,Freightliner M2,2015,LNG
HKVV9DNT,Volvo VNL,2024,Diesel
GXXPPLF8,Tata Ultra,2018,Electric
XL0C3I9W,Isuzu N-Series,2007,CNG
TASV9TA2,Volvo VNL,2012,CNG
S966W7GM,Volvo VNL,2024,Diesel
OGH20O1J,Ashok Leyland Dost,2013,Diesel
ZL2XJO9Z,Freightliner M2,2006,Diesel
J84RF8B6,Ashok Leyland Dost,2011,Diesel
KGZEDKLE,Freightliner M2,2017,LNG
MFD7EEPV,Tata Ultra,2024,CNG
M4EAUWVN,Tata Ultra,2005,Electric
4NT5PXHG,Volvo VNL,2011,Electric
HV1S0SL2,Isuzu N-Series,2008,CNG
REDTFW3S,Ashok Leyland Dost,2010,LNG
NC2G0O74,Volvo VNL,2005,Electric
TFGGHKXH,Isuzu N-Series,2023,Diesel
WWLO1UW9,Tata Ultra,2013,LNG
DKO9NT2L,Ashok Leyland Dost,2022,Diesel
ZPD9E9T3,Ashok Leyland Dost,2012,LNG
7RH0U9UO,Isuzu N-Series,2005,LNG
PFIXG1RJ,Freightliner M2,2013,Electric
9L3IDMLG,Volvo VNL,2008,Diesel
0727NIS8,Isuzu N-Series,2011,LNG
CSMIOKY0,Volvo VNL,2020,LNG
5TDA13NO,Freightliner M2,2019,LNG
A0Z0OZPN,Ashok Leyland Dost,2022,Diesel
82MM8QSI,Tata Ultra,2007,Diesel
K6CAM9I2,Ashok Leyland Dost,2022,Diesel
RMZEBBC1,Isuzu N-Series,2023,Diesel
VZ25WY3Q,Ashok Leyland Dost,2024,LNG
MTHB2GA5,Ashok Leyland Dost,2013,Electric
A0I6A4SM,Tata Ultra,2021,LNG
CGF7UM2A,Freightliner M2,2019,Diesel
GEAC0D1R,Ashok Leyland Dost,2010,Diesel
BOFUJFSU,Isuzu N-Series,2008,LNG
HHZTMJCB,Ashok Leyland Dost,2018,LNG
X58TEQOF,Volvo VNL,2005,Electric
TDR29Q26,Volvo VNL,2020,Diesel
R037ZCN9,Ashok Leyland Dost,2019,Diesel
QA9D7MTS,Ashok Leyland Dost,2020,Electric
D633T7M2,Isuzu N-Series,2009,CNG
VGKEENPY,Isuzu N-Series,2025,Diesel
H6BR4GKT,Ashok Leyland Dost,2022,Diesel
3EPU0TH5,Volvo VNL,2019,Diesel
QBH1WLLU,Isuzu N-Series,2009,Diesel
VERVQY82,Freightliner M2,2020,LNG
X8QL9Z0H,Ashok Leyland Dost,2010,LNG
D0KYTKNP,Volvo VNL,2010,Diesel
L20BYC25,Tata Ultra,2014,Electric
PDAOPOKO,Isuzu N-Series,2024,Diesel
RDV6OSGB,Freightliner M2,2017,Electric
GDDF2BW8,Ashok Leyland Dost,2005,LNG
I8X01FH5,Tata Ultra,2025,LNG
M0E6Q862,Freightliner M2,2014,CNG
WT8H330X,Ashok Leyland Dost,2014,Electric
FQ6BM6KQ,Freightliner M2,2023,CNG
DI1BPIK9,Tata Ultra,2018,LNG
ILUUJ95E,Freightliner M2,2009,Diesel
E76NW14E,Freightliner M2,2011,Electric
OJIJNPIH,Tata Ultra,2013,LNG
WY69D6HY,Freightliner M2,2007,LNG
GJ3KSZKN,Volvo VNL,2014,Electric
BZQRI7DL,Freightliner M2,2006,CNG
RJ2LSGR3,Freightliner M2,2007,Diesel
QUJTX8ZX,Tata Ultra,2019,Diesel
V5YGF8DV,Volvo VNL,2015,Electric
ZO0I2N6W,Ashok Leyland Dost,2005,LNG
GO9DTG8B,Volvo VNL,2006,Diesel
VY334ZIQ,Isuzu N-Series,2010,Electric
Z12PXQ75,Freightliner M2,2013,CNG
HG3NXXOD,Tata Ultra,2025,CNG
X9VUKWVI,Ashok Leyland Dost,2018,LNG
1DW6HBUM,Isuzu N-Series,2022,LNG
OGFVLY3Q,Freightliner M2,2023,Electric
6GM4YAXI,Isuzu N-Series,2022,CNG
0S8OHUWH,Isuzu N-Series,2009,CNG
BZX3I07M,Ashok Leyland Dost,2012,CNG
0NH6MKA7,Isuzu N-Series,2011,LNG
26U6DS7A,Isuzu N-Series,2012,LNG
VE0BK5LG,Tata Ultra,2018,Electric
G8B3ENG4,Freightliner M2,2019,CNG
388KOABL,Freightliner M2,2017,Electric
BT0HH5JK,Volvo VNL,2007,LNG
BIBOWURW,Tata Ultra,2013,Electric
EDASQQFY,Volvo VNL,2009,LNG
18VII80I,Ashok Leyland Dost,2024,LNG
D54HOAHF,Freightliner M2,2014,Electric
F8AF7KQ1,Freightliner M2,2025,LNG
CV8A5C4Z,Ashok Leyland Dost,2024,Electric
G5HWH0CU,Volvo VNL,2019,Diesel
HSZHCITY,Volvo VNL,2016,Electric
EF33I36C,Ashok Leyland Dost,2005,CNG
FMFNTZZW,Isuzu N-Series,2019,Diesel
GRAUBSXW,Isuzu N-Series,2017,Electric
XQR7ZZFP,Tata Ultra,2013,Electric
SPBJP52N,Freightliner M2,2006,Electric
HF7R8LXD,Ashok Leyland Dost,2013,Electric
3BQK1O5L,Volvo VNL,2016,Diesel
91F399WK,Isuzu N-Series,2013,Diesel
K8PJQ4JC,Freightliner M2,2012,Diesel
YW5MUCC9,Isuzu N-Series,2021,Electric
Y6MEV44P,Volvo VNL,2008,Electric
9IPZX4BD,Ashok Leyland Dost,2025,LNG
3TMAHP1X,Freightliner M2,2014,LNG
Q9MJ2GUT,Tata Ultra,2019,Diesel
EH7T5AXQ,Freightliner M2,2025,CNG
8WXTGI20,Isuzu N-Series,2012,Diesel
KU2CKE3Q,Volvo VNL,2005,CNG
L402DBS2,Volvo VNL,2005,Electric
1DNUG91X,Tata Ultra,2007,Diesel
X4KT2R7T,Tata Ultra,2010,Electric
LR8RX154,Volvo VNL,2021,Electric
NXUD4117,Freightliner M2,2006,LNG
ZIEYKP3B,Tata Ultra,2021,CNG
FSPEL1QU,Volvo VNL,2016,Diesel
AL4122Q4,Ashok Leyland Dost,2019,Electric
AHOIIW9Y,Isuzu N-Series,2005,CNG
J5LLE0YJ,Isuzu N-Series,2015,LNG
G10GOJ0Y,Ashok Leyland Dost,2006,Diesel
80UB309X,Volvo VNL,2017,LNG
61I6W6VV,Freightliner M2,2014,LNG
OA0YFNV8,Isuzu N-Series,2005,Electric
1XZXWIQ7,Freightliner M2,2009,CNG
GSZ3RD2V,Tata Ultra,2025,LNG
HO5BXS91,Ashok Leyland Dost,2016,Diesel
WLIMAB9N,Tata Ultra,2015,Diesel
XE7RJ6Z9,Freightliner M2,2010,LNG
W7WB3NWH,Ashok Leyland Dost,2005,CNG
CSZH6RJ9,Isuzu N-Series,2009,Electric
SM6C3YVC,Freightliner M2,2008,Diesel
INTZNTYP,Volvo VNL,2014,LNG
I4H7N7FY,Ashok Leyland Dost,2012,Electric
5CH2JELC,Volvo VNL,2019,LNG
D0P1262G,Tata Ultra,2012,Diesel
SZ3GAUEZ,Tata Ultra,2006,Diesel
OHMXLWLU,Tata Ultra,2008,CNG
X083D4XA,Tata Ultra,2020,LNG
IHJXNKNT,Isuzu N-Series,2009,Diesel
N0T13854,Volvo VNL,2017,LNG
WQXHTMBA,Volvo VNL,2025,Diesel
E5FMO1DS,Volvo VNL,2005,Diesel
CINUC6U3,Tata Ultra,2019,Electric
9X0HJG92,Ashok Leyland Dost,2019,Electric
7XP2PZ8K,Tata Ultra,2018,Diesel
T8VPX4AZ,Volvo VNL,2018,Electric
0EVWB0GH,Isuzu N-Series,2008,Diesel
D843MO2T,Isuzu N-Series,2015,CNG
K0NHJ9FE,Isuzu N-Series,2021,LNG
5TP8O90Q,Freightliner M2,2024,Diesel
WRG50TZ3,Volvo VNL,2016,LNG
HZ77UVCR,Freightliner M2,2023,CNG
0TZ0TCBD,Ashok Leyland Dost,2019,Diesel
MXGP9QA3,Freightliner M2,2012,LNG
88RKZ93Y,Freightliner M2,2005,Electric
N168PAEZ,Isuzu N-Series,2024,CNG
9CPGQPAM,Volvo VNL,2011,LNG
UG3U7DLJ,Tata Ultra,2005,Diesel
WSCSAWM7,Freightliner M2,2005,Electric
4DNO1IMG,Isuzu N-Series,2018,LNG
PFBS60C3,Volvo VNL,2017,Diesel
V4EAXBHY,Tata Ultra,2009,Electric
00UIQ30X,Ashok Leyland Dost,2006,Diesel
TZ21NE67,Isuzu N-Series,2013,LNG
FFGLW47Z,Freightliner M2,2008,Electric
R8KOY6WV,Ashok Leyland Dost,2024,LNG
RF6BXBEO,Tata Ultra,2019,Electric
OCXCDIL8,Ashok Leyland Dost,2005,Electric
GI0USQ1E,Volvo VNL,2011,CNG
XV604SBE,Isuzu N-Series,2011,CNG
4C7VRGHI,Freightliner M2,2009,CNG
A9VO8Z5P,Isuzu N-Series,2016,Electric
CDK8RLI1,Volvo VNL,2009,CNG
EY5FINO9,Freightliner M2,2014,LNG
5SVXROVV,Isuzu N-Series,2019,LNG
DGVABNFG,Tata Ultra,2020,CNG
BOAPKIIZ,Tata Ultra,2007,Electric
78HXC9X0,Volvo VNL,2007,CNG
39EQVRX0,Freightliner M2,2011,Diesel
X29S246O,Tata Ultra,2006,LNG
WV9KX4RP,Ashok Leyland Dost,2005,Diesel
NPYBDZ2E,Tata Ultra,2017,CNG
25F8B7U6,Tata Ultra,2013,Diesel
VF4CYBNI,Isuzu N-Series,2017,CNG
WSPNGVS1,Volvo VNL,2016,Diesel
24OG7BPL,Volvo VNL,2016,LNG
W8VNDM1W,Tata Ultra,2025,Diesel
X66ZQQFW,Freightliner M2,2025,CNG
AOGI7YEI,Freightliner M2,2021,CNG
BC8WVWBK,Freightliner M2,2010,LNG
GU1P8K89,Ashok Leyland Dost,2021,LNG
QYV207OV,Volvo VNL,2022,LNG
1UDML952,Isuzu N-Series,2009,Electric
LWQM2AWQ,Tata Ultra,2010,LNG
C0ECXW4E,Ashok Leyland Dost,2011,Electric
C3Z9TBTP,Volvo VNL,2009,CNG
CEEN6YNE,Isuzu N-Series,2019,LNG
VJPRWF45,Volvo VNL,2024,Electric
R0SB9HZN,Ashok Leyland Dost,2009,CNG
G3U9GVBG,Ashok Leyland Dost,2005,LNG
5BTAF722,Freightliner M2,2019,LNG
K40LMI40,Tata Ultra,2024,Diesel
PY7Y1938,Ashok Leyland Dost,2007,Electric
SVOP4U95,Ashok Leyland Dost,2013,Diesel
WTQUOAVZ,Volvo VNL,2016,Diesel
HPI1JVNZ,Isuzu N-Series,2025,LNG
50E4DWOQ,Ashok Leyland Dost,2018,Electric
H8UJZ71P,Volvo VNL,2023,CNG
O9CIPGSH,Isuzu N-Series,2013,CNG
T55ME3UP,Tata Ultra,2014,CNG
KOOH2X25,Volvo VNL,2009,Electric
0BI72C3X,Freightliner M2,2025,Diesel
A30HJA46,Isuzu N-Series,2020,CNG
NLGRV49R,Freightliner M2,2016,Electric
50KE9CM2,Ashok Leyland Dost,2024,LNG
3CX9NHMO,Freightliner M2,2021,LNG
YUE0FZM0,Tata Ultra,2006,LNG
8XQYP0VE,Ashok Leyland Dost,2010,Electric
Q526JIWA,Isuzu N-Series,2016,CNG
HUM5QTN9,Isuzu N-Series,2018,LNG
3RSIKWJR,Tata Ultra,2013,CNG
NDOBW4SM,Tata Ultra,2020,Electric
62CCQBGO,Freightliner M2,2016,Electric
EL1H5NIR,Volvo VNL,2025,LNG
K4DDXZOI,Isuzu N-Series,2009,LNG
